time,BVSP.Open,BVSP.High,BVSP.Low,BVSP.Close,BVSP.Volume,BVSP.Adjusted
2024-12-30,120267,121050,120158,120283,8895300,120283
2024-12-27,121078,121609,120252,120269,8937000,120269
2024-12-26,120767,121612,120428,121078,8338500,121078
2024-12-23,122105,122105,120617,120767,9953300,120767
2024-12-20,121183,122209,120700,122102,18128200,122102
2024-12-19,120768,121770,120768,121188,13682900,121188
2024-12-18,124699,124699,120457,120772,19742800,120772
2024-12-17,123560,125301,123560,124698,17561100,124698
2024-12-16,124610,124956,123495,123560,11071100,123560
2024-12-13,126102,126290,124578,124612,11762700,124612
2024-12-12,129587,129587,125829,126042,13453200,126042
2024-12-11,128228,130899,127362,129593,13170900,129593
2024-12-10,127213,128511,127213,128228,9141300,128228
2024-12-09,125946,127542,125946,127210,9367300,127210
2024-12-06,127856,127872,125833,125946,11223300,125946
2024-12-05,126088,127989,126087,127858,9530800,127858
2024-12-04,126139,126720,125828,126087,9388600,126087
2024-12-03,125235,126417,125233,126139,9990000,126139
2024-12-02,125668,125901,124734,125236,11517200,125236
2024-11-29,124611,126056,123946,125668,16398000,125668
2024-11-28,127667,127668,124390,124610,12833100,124610
2024-11-27,129923,130283,127669,127669,12318800,127669
2024-11-26,129043,130361,129042,129922,9745200,129922
2024-11-25,129125,129495,128932,129036,14411200,129036
2024-11-22,126944,129126,126944,129126,9186200,129126
2024-11-21,128197,128197,126594,126922,10271900,126922
2024-11-19,127768,128579,127235,128197,9103600,128197
2024-11-18,127791,128277,127226,127768,10742000,127768
2024-11-14,127734,128423,127389,127792,13138300,127792
2024-11-13,127698,128100,126869,127734,12692800,127734
2024-11-12,127873,128210,127411,127698,9522100,127698
2024-11-11,127829,128095,127306,127874,8395300,127874
2024-11-08,129647,129647,126973,127830,13183200,127830
2024-11-07,130341,131319,129406,129682,10520800,129682
2024-11-06,130613,130670,128822,130341,10540900,130341
2024-11-05,130515,130769,129692,130661,8556100,130661
2024-11-04,128130,130609,128128,130515,9013500,130515
2024-11-01,129718,129902,128070,128121,9897900,128121
2024-10-31,130639,130798,129642,129713,9068100,129713
2024-10-30,130730,131027,130473,130639,7327100,130639
2024-10-29,131214,131765,130693,130730,7636400,130730
2024-10-28,129894,131421,129894,131213,7135300,131213
2024-10-25,130067,130529,129806,129893,8513300,129893
2024-10-24,129233,130130,128798,130067,8310600,130067
2024-10-23,129949,129949,128589,129233,7962200,129233
2024-10-22,130346,130346,129094,129721,5522000,129721
2024-10-21,130499,131124,130157,130362,7774900,130362
2024-10-18,130793,131725,130121,130499,8683700,130499
2024-10-17,131716,131716,129902,130793,7086000,130793
2024-10-16,131045,132233,130780,131750,10282800,131750
2024-10-15,131005,131457,130200,131043,7982900,131043
2024-10-14,129992,131220,129729,131005,8502100,131005
2024-10-11,130354,130354,129338,129992,7973300,129992
2024-10-10,129963,130418,129835,130353,7617300,130353
2024-10-09,131510,131520,129719,129962,9220400,129962
2024-10-08,132016,132016,130371,131512,9093200,131512
2024-10-07,131792,132943,131676,132018,7702100,132018
2024-10-04,131672,131936,131156,131792,7054700,131792
2024-10-03,133514,133514,131176,131672,9821200,131672
2024-10-02,132495,134922,132495,133515,9398700,133515
2024-10-01,131817,133405,131817,132495,9841100,132495
2024-09-30,132761,133120,131816,131816,9131600,131816
2024-09-27,133010,133923,132628,132730,9338900,132730
2024-09-26,131595,133313,131594,133010,11618300,133010
2024-09-25,132156,132982,131489,131586,10527200,131586
2024-09-24,130570,133073,130570,132156,9367100,132156
2024-09-23,131065,131065,130100,130568,9140800,130568
2024-09-20,133121,133128,130907,131065,13605800,131065
2024-09-19,133748,134759,133123,133123,9254500,133123
2024-09-18,134960,135203,133748,133748,9792800,133748
2024-09-17,135118,135118,134180,134960,7314500,134960
2024-09-16,134885,135715,134870,135118,6707000,135118
2024-09-13,134031,135879,134031,134882,8866000,134882
2024-09-12,134677,134777,133591,134029,7004900,134029
2024-09-11,134319,135087,133757,134677,7947300,134677
2024-09-10,134738,134738,133754,134320,8253500,134320
2024-09-09,134574,135250,134399,134737,6587600,134737
2024-09-06,136508,136653,134476,134572,7563300,134572
2024-09-05,136112,136656,135959,136502,7528700,136502
2024-09-04,134359,136838,134359,136111,9419500,136111
2024-09-03,134907,135011,134171,134353,8802400,134353
2024-09-02,136004,136004,134497,134981,3666100,134981
2024-08-30,136041,136139,134910,136004,18397900,136004
2024-08-29,137349,137370,135858,136041,8385100,136041
2024-08-28,136776,137469,135746,137344,7457100,137344
2024-08-27,136888,137213,136664,136776,6745900,136776
2024-08-26,135608,137013,135596,136889,7560000,136889
2024-08-23,135174,136478,135174,135608,8649400,135608
2024-08-22,136462,136462,134836,135173,8050200,135173
2024-08-21,136088,137040,136086,136464,9572200,136464
2024-08-20,135779,136330,135312,136087,8106800,136087
2024-08-19,133953,136179,133953,135778,11281500,135778
2024-08-16,134154,134781,133852,133953,10871900,133953
2024-08-15,133319,134575,133319,134153,10534800,134153
2024-08-14,132398,133777,132112,133318,12158400,133318
2024-08-13,131115,132430,131115,132398,9798900,132398
2024-08-12,130615,131662,130615,131116,8601600,131116
2024-08-09,128662,130631,128662,130615,11324800,130615
2024-08-08,127515,128793,127515,128661,8624000,128661
2024-08-07,126268,127517,126268,127514,8837900,127514
2024-08-06,125270,126966,125261,126267,10052600,126267
2024-08-05,125851,125851,123073,125270,10886100,125270
2024-08-02,127395,128104,125731,125854,9950900,125854
2024-08-01,127652,128762,127150,127395,9814200,127395
2024-07-31,126139,127853,126139,127652,9471900,127652
2024-07-30,126951,126951,125973,126139,6848600,126139
2024-07-29,127492,127657,126606,126954,7075400,126954
2024-07-26,125964,127700,125953,127492,8272000,127492
2024-07-25,126423,126423,125626,125954,7134100,125954
2024-07-24,126596,126823,126218,126423,7304800,126423
2024-07-23,127860,127860,126530,126590,7022900,126590
2024-07-22,127616,128151,127456,127860,6098200,127860
2024-07-19,127652,128360,127413,127616,7620400,127616
